Title,Category,Questions Average BLEU,Options Average BLEU,,,,,
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.713991207,1,,,,,
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.742333732,0.621761104,,,,,
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.721907502,0.260416309,,,,,
How this disease changes the shape of your cells - Amber M. Yates,Health,0.717996797,0.673483151,,,,,
The counting by fives song | Counting songs,Numbers & Operations,0.758074066,0.106089116,,,,,
Why do we have leap years?,Teaching & Education,0.669667039,0.55112416,,,,,
Is binge watching bad for you?,Health,0.774513546,0.676369125,,,,,
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.72163401,0,,,,,
Why do we wrinkle when wet?,Health,0.72806423,0.388111406,,,,,
3D shapes song | Shapes for kids,Geometry,0.770000257,0.926776695,,,,,
The most common STI in the world - Emma Bryce,Literature & Language,0.763944817,0.459646381,,,,,
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.77376291,0.330125726,,,,,
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.738863023,1,,,,,
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.691094145,0.939737965,,,,,
The surprising similarities between Twister and intelligence,Health,0.74550191,0.612793057,,,,,
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.714781531,0.485536002,,,,,
Why beavers are the smartest thing in fur pants,Science & Technology,0.765679454,0.5037945,,,,,
Why we should draw more (and photograph less),Physical Fitness,0.737778225,0.405389855,,,,,
The history of manners,Psychology,0,0,,,,,
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.710651187,1,,,,,
Art with Mati and Dada ?€? Henri Matisse,Visual Arts,0.744360204,0.686170311,,,,,
Why don't haircuts hurt?,Science & Technology,0.783325116,0.015964114,,,,,
An Exercise in Self Compassion,Emotional Health,0.731609131,0.406556381,,,,,
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0.752962258,0.428777141,,,,,
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona H??rm??vaara,Literature & Language,0.778828801,0.548376236,,,,,
Why some people don't have an inner monologue,Psychology,0,0,,,,,
Can you survive nuclear fallout? - Brooke Buddemeier and Jessica S. Wieder,Science & Technology,0.688415785,1,,,,,
The rise and fall of the Lakota Empire - Pekka H??m??l??inen,History,0.70526967,0.973618328,,,,,
Climate change will displace millions. Here's how we prepare - Colette Pichon Battle,Science & Technology,0,0,,,,,
The counting by tens song | Counting songs,Numbers & Operations,0.792615899,0.247834135,,,,,
Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,Science & Technology,0.72103853,0.582231781,,,,,
The physics of surfing - Nick Pizzo,Science & Technology,0.710868336,0.362124792,,,,,
Why do these deadly insects look like flowers?,Science & Technology,0.723449887,0.479747839,,,,,
Better know the Mona Lisa,Visual Arts,0.674718845,0.741975532,,,,,
SH | fun phonics | how to read,Literature & Language,0.777559531,0.643144387,,,,,
What makes neon signs glow? A 360 degree animation - Michael Lipman,"Design, Engineering & Technology",0.738462452,0.821083522,,,,,
Prohibition: Banning alcohol was a bad idea... - Rod Phillips,Social Studies,0.723592872,0.602477171,,,,,
How the COVID-19 vaccines were created so quickly - Kaitlyn Sadtler and Elizabeth Wayne,Health,0.788517961,0.6720452,,,,,
The science of Flint's water crisis,Public Health,0,0,,,,,
How bones make blood - Melody Smith,Health,0.728630817,0.557167872,,,,,
How soap kills the coronavirus,Public Health,0.693391616,0.503502475,,,,,
What makes TB the world's most infectious killer? - Melvin Sanicas,Science & Technology,0.740470298,0.696321575,,,,,
The world's ugliest animal,Environmental Science,0.724441384,0.156757926,,,,,
Why is this painting so shocking? - Iseult Gillespie,The Arts,0.719829378,0.541524823,,,,,
The imaginary king who changed the real world - Matteo Salvadore,Social Studies,0.734274417,0.563404584,,,,,
What happens when you lose a balloon?,Science & Technology,0.741371475,0.637780588,,,,,
The quest for the perfect apple,Science & Technology,0.719344399,0.64099726,,,,,
3 bizarre (and delightful) ancient theories about bird migration - Lucy Cooke,Literature & Language,0.699109404,0.161853338,,,,,
Why perfect grades don't matter,Teaching & Education,0.695303671,1,,,,,
Can you trust your ears? (audio illusions),Health,0.652992844,0.353487734,,,,,
Why is my leg asleep?,Health,0.752740758,0.553945214,,,,,
Why don't we throw trash in volcanoes?,Science & Technology,0.646025655,0.416810389,,,,,
Is life meaningless? And other absurd questions - Nina Medvinskaya,Philosophy,0.714688337,0.236828589,,,,,
"Why should you read ""Moby Dick""? - Sascha Morrell",Literature & Language,0.783071895,0.656141443,,,,,
Why do American schools have such long hours?,Teaching & Education,0.70425368,0.839743105,,,,,
Here Comes Teacher Cat - Read aloud picture book,Literature,0.749507497,0.168636148,,,,,
What happens when nature goes viral?,Science & Technology,0.674385214,0.629664466,,,,,
The myth of Loki and the master builder - Alex Gendler,Literature & Language,0.739858177,0.45588492,,,,,
How Thor got his hammer - Scott A. Mellor,Social Studies,0.731189189,0.494015748,,,,,
Helping others makes us happier--- but it matters how we do it - Elizabeth Dunn,Psychology,0,0,,,,,
"What is Juneteenth, and why is it important? - Karlos K. Hill and Soraya Field Fiorio",Social Studies,0.745354454,0.541450765,,,,,
Why should you read Sylvia Plath? - Iseult Gillespie,Literature & Language,0.697193071,0.615116431,,,,,
There may be extraterrestrial life in our solar system - Augusto Carballido,Science & Technology,0.719133361,0.665581289,,,,,
The Princess and the Pea - Read aloud picture book,Literature,0.780956812,0.453645037,,,,,
Can you solve the secret sauce riddle? - Alex Gendler,Problem Solving,0.692376047,0.692612967,,,,,
The secret society of the Great Dismal Swamp - Dan Sayers,Social Studies,0.715203995,0.579609097,,,,,
Why parrots can talk like humans,Life Sciences,0.743676229,0.603636464,,,,,
Your brain hallucinates your conscious reality - Anil Seth,"Consciousness, Sensation and Perception",0,0,,,,,
Can you solve the Ragnarok riddle? - Dan Finkel,Thinking & Learning,0.678375223,0.398129986,,,,,
What is depression? - Helen M. Farrell,Psychology,0.725764913,0.852625418,,,,,
Why does smoke follow you around a fire?,Science & Technology,0.662116033,0.432747581,,,,,
How to deal with rejection,Psychology,0.768044978,0.360773458,,,,,
Plurals -s -es | Learn to Spell,Literature & Language,0.746859138,0.628900569,,,,,
How to find area and perimeter,Mathematics,0.727423883,0.615607383,,,,,
What you should know about vaping and e-cigarettes - Suchitra Krishnan-Sarin,Health,0,0,,,,,
Make your own cartoon!,Visual Arts,0.720613175,0.436273301,,,,,
How do crystals work? - Graham Baird,Science & Technology,0.738777814,0.451590989,,,,,
Why is cotton in everything? - Michael R. Stiff,Science & Technology,0.734615764,0.750989993,,,,,
How much sleep do you actually need?,Health,0.683737002,0.533555326,,,,,
This thought experiment will help you understand quantum mechanics - Matteo Fadel,Psychology,0.722467781,0.292122186,,,,,
The history of the world according to cats - Eva-Maria Geigl,Social Studies,0.728443514,0.436741143,,,,,
"""Other"": A brief history of American xenophobia",Social Studies,0.720471341,0.403395464,,,,,
The New Baby by Mercer Mayer - Read aloud book,Literature,0.755700951,0.424544248,,,,,
How one scientist took on the chemical industry - Mark Lytle,Public Health,0.770181885,0.402813716,,,,,
Does aloe vera really treat a sunburn?,Earth and Space Science,0.699074855,0.623385163,,,,,
Why do humans have a third eyelid? - Dorsa Amin,Life Sciences,0.68171541,0.818943168,,,,,
Art with Mati & Dada | Kandinsky,Visual Arts,0.743750474,0.245130553,,,,,
Can you solve the secret werewolf riddle? - Daniel Finkel,Mathematics,0.751136445,0.417998969,,,,,
"If your hands could smell, you'd be an octopus",Science & Technology,0.743736711,0.55787852,,,,,
Polygon song,Geometry,0.76965524,1,,,,,
The coronavirus explained and how you can combat it,Public Health,0.789718802,0.391037431,,,,,
Five oceans song,Geography,0.689601948,0.468524682,,,,,
Why some people find exercise harder than others - Emily Balcetis,"Design, Engineering & Technology",0,0,,,,,
Closed and open syllables | Learn to read,Literature & Language,0.737619332,0.612631015,,,,,
Zumbi: The last king of Palmares - Marc Adam Hertzman & Flavio dos Santos Gomes,Social Studies,0.768754179,0.50244478,,,,,
What would happen if you stopped brushing your teeth?,Physical Science,0.672585939,0.610562411,,,,,
A brief history of chess - Alex Gendler,Thinking & Learning,0.726263703,0.577505016,,,,,
Your body vs. Implants - Kaitlyn Sadtler,Science & Technology,0.704208385,0.509842861,,,,,
What is monkeypox?,Health,0.74872648,0.921305833,,,,,
How does the Rorschach inkblot test work? - Damion Searls,Psychology,0.691154053,0.397179152,,,,,
Can you solve the troll's paradox riddle? - Dan Finkel,Mathematics,0.746394963,0.420655391,,,,,
How do you know what's true? - Sheila Marie Orfano,Psychology,0.693945066,0.577656228,,,,,
Shapes song for kids,Geometry,0.736153184,0.642089264,,,,,
How a case gets to the US Supreme Court,Social Studies,0.733469372,0.675512189,,,,,
Why is it so hard to break a bad habit?,Psychology,0.714440491,0.364323241,,,,,
The L-iminator! | The double L spelling rule,Literature & Language,0.70965572,0.371828839,,,,,
Why 350 degreeF is the magic number for baking,Social Studies,0.715342021,0.845140493,,,,,
Can you solve the cuddly duddly fuddly wuddly riddle? - Dan Finkel,Mathematics,0.746957463,0.607783228,,,,,
What was so special about Viking ships? - Jan Bill,"Design, Engineering & Technology",0.715662322,1,,,,,
The physics of a pool vortex,Science & Technology,0.691513224,0.678732731,,,,,
A day in the life of an ancient Greek architect - Mark Robinson,"Design, Engineering & Technology",0.708410784,0.532194507,,,,,
The importance of setting in a story,Literature & Language,0.732154067,0.54415402,,,,,
Why haven't we cured arthritis? - Kaitlyn Sadtler and Heather J. Faust,Health,0.705636938,0.592491881,,,,,
"Homophone song: There, Their, They're",Literature & Language,0.74613039,0.48577422,,,,,
How can we solve the antibiotic resistance crisis? - Gerry Wright,Health,0.702912085,0.408935244,,,,,
This sea creature breathes through its butt - Cella Wright,Science & Technology,0.743438336,0.414405606,,,,,
How far would you have to go to escape gravity? - Rene Laufer,Science & Technology,0.686488267,0.463236758,,,,,
Can animals be deceptive? - Eldridge Adams,Science & Technology,0.701041246,0.17999887,,,,,
Old MacDonald had some vowels | AEIOU,Literature & Language,0.720897918,0.299742488,,,,,
Do we own the land?,Social Studies,0.715107103,0.554505589,,,,,
"Why should you read ""Midnight's Children""? - Iseult Gillespie",Literature & Language,0.729341871,0.585210737,,,,,
The fascinating physics of boat wakes,Science & Technology,0.669201689,0.45729221,,,,,
The advanced colors song | Art songs,Visual Arts,0.729057606,0.60375728,,,,,
Building the world's largest (and most controversial) power plant - Alex Gendler,Thinking & Learning,0.728731873,0.49599471,,,,,
Underwater farms vs. Climate change - Ayana Elizabeth Johnson and Megan Davis,Thinking & Learning,0.722102706,0.670066171,,,,,
"Human, capital & natural resources for kids | Types of resources",Social Studies,0.727586624,0.685594015,,,,,
Can you solve the jail break riddle? - Dan Finkel,Mathematics,0.734169554,0.493439289,,,,,
Can you be awake and asleep at the same time? - Masako Tamaki,Health,0.73612136,0.370232119,,,,,
A day in the life of a teenage samurai - Constantine N. Vaporis,Social Studies,0.724082972,0.856277911,,,,,
"Why we say ""OK""",Literature & Language,0.76343431,0.592844933,,,,,
The Japanese folktale of the selfish scholar - Iseult Gillespie,Social Studies,0.689195222,0.420990754,,,,,
Why do India and China have so many people?,Social Studies,0.695151061,0.623605096,,,,,
Can you trust your eyes?,Science & Technology,0.745609811,0.542724362,,,,,
"Mating frenzies, sperm hoards, and brood raids: The life of a fire ant queen - Walter R. Tschinkel",Earth and Space Science,0.692661475,0.295513054,,,,,
The psychology of post-traumatic stress disorder - Joelle Maletis,Health,0.722348197,0.720310968,,,,,
What's the smartest age? - Shannon Odell,Thinking & Learning,0.709036341,0.409022362,,,,,
Black Friday: An accident of history,Nutrition,0.728088797,0.208579911,,,,,
How ingenious animals have engineered air conditioning,"Design, Engineering & Technology",0.7158938,0.61916637,,,,,
The golf ball that made golfers too good,"Design, Engineering & Technology",0.737344804,0.149743221,,,,,
The lines song | Art songs,Visual Arts,0.759216898,0.685250833,,,,,
Can you solve the monster duel riddle? - Alex Gendler,Science & Technology,0.716925135,0.786655167,,,,,
Which animal murders the most?,Science & Technology,0.689887068,0.628254654,,,,,
Game theory challenge: Can you predict human behavior? - Lucas Husted,Critical Thinking,0.720736501,0.564606994,,,,,
The Snowy Day - Read aloud picture book,Literature,0.738635156,0.331795097,,,,,
Why do venomous animals live in warm climates?,Science & Technology,0,0,,,,,
What's in the air you breathe? - Amy Hrdina and Jesse Kroll,Health,0.760322683,0.601301124,,,,,
Grief and love in the animal kingdom - Barbara J. King,Life Sciences,0,0,,,,,
The tale of the doctor who defied Death - Iseult Gillespie,Literature & Language,0.714052877,0.550991965,,,,,
The surprising truth about what motivates us,Motivation and Emotion,0,0,,,,,
Fun cartoon on Dr. Martin Luther King Jr. for Kids!,History,0.775623972,0.054583639,,,,,
The dangerous race for the South Pole - Elizabeth Leane,Social Studies,0.751191206,0.249863839,,,,,
How close are we to eradicating HIV? - Philip A. Chan,Literature & Language,0.747454106,0.558428389,,,,,
The bug that poops candy - George Zaidan,Life Sciences,0.753316301,0.610747699,,,,,
How stress affects your brain - Madhumita Murgia,Health,0.710412007,0.52489639,,,,,
Three ways the universe could end - Venus Keus,Science & Technology,0.695221556,0.623956343,,,,,
What causes heartburn? - Rusha Modi,Health,0.707576677,0.518290506,,,,,
The ballet that incited a riot - Iseult Gillespie,Performing Arts,0.736606715,0.325089747,,,,,
The world's largest organism - Alex Rosenthal,Earth and Space Science,0.757897855,0.556514507,,,,,
Corals reefs aren't as doomed as you think,Science & Technology,0,0,,,,,
The Bear Ate Your Sandwich - Read aloud picture book,Literature,0.759131985,0.579155602,,,,,
Why does smoked brisket taste so delicious?,Science & Technology,0.731825395,0.62526184,,,,,
How Does It Grow? Cranberries,Nutrition,0.72716246,0.53077189,,,,,
A brief history of plastic,Environmental Science,0.695141713,0.483610696,,,,,
The dust bunnies that built our planet - Lorin Swint Matthews,Earth and Space Science,0.721012299,0.407371745,,,,,
How does alcohol cause hangovers? - Judy Grisel,Health,0.76028812,0.499590779,,,,,
A day in the life of a Peruvian shaman - Gabriel Prieto,Social Studies,0.70482282,0.58780677,,,,,
How to be more empathetic,Psychology,0.641964944,0.594050021,,,,,
Frederick Douglass for kids (cartoon biography),History,0.731208243,0.350034549,,,,,
Phonics - Learn to read the letter 'R',Literature & Language,0.75403449,0.623373542,,,,,
Why good ideas get trapped in the valley of death--- and how to rescue them,Business & Economics,0.675693214,0.389367309,,,,,
"What's a squillo, and why do opera singers need it? Ming Luke",Performing Arts,0.719207901,0.700646036,,,,,
What yoga does to your body and brain - Krishna Sudhir,Health,0.760130912,0.632393634,,,,,
Are the illuminati real? - Chip Berlet,History,0.725616052,0.629205447,,,,,
Is sitting too close to the TV really bad for you?,Health,0.690792359,0.425716628,,,,,
Are we all related?,Psychology,0.708233274,0.252636395,,,,,
My Friend Maggie - Today I learned - Read aloud picture book,Literature,0.776763179,0.715994693,,,,,
Using TCH or CH | Sounds of TCH and CH | Learn to read,Literature & Language,0.731157008,1,,,,,
Why you don't hear about the ozone layer anymore,Science & Technology,0.712892964,0.879526739,,,,,
Why do we eat spoiled food?,History,0.668984128,0.640715162,,,,,
What is consciousness? - Michael S. A. Graziano,Health,0.691517178,0.23330115,,,,,
How do ventilators work? - Alex Gendler,Public Health,0.747362491,0.634792024,,,,,
Can you solve the time travel riddle? - Dan Finkel,Mathematics,0.688257622,0.202412732,,,,,
Watch this educational video for children with a Rosa Parks biography,History,0.783777168,0.489055624,,,,,
What is a butt tuba and why is it in medieval art? - Michelle Brown,Social Studies,0.685154149,0.630552214,,,,,
The rise and fall of the Mongol Empire - Anne F. Broadbridge,History,0.741764189,0.586607566,,,,,
Where did Earth's water come from?,Earth and Space Science,0.723266519,0.54527449,,,,,
I Just Forgot by Mercer Mayer,Literature,0.721190977,0.594385848,,,,,
Why do we celebrate Groundhog Day?,Social Studies,0.703415564,1,,,,,
Can you solve the dragon jousting riddle? - Alex Gendler,Social Studies,0.706182883,0.519731014,,,,,
4 signs of emotional abuse - Viann Nguyen-Feng,Emotional Health,0.704981505,0.199898885,,,,,
A brief history of the devil - Brian A. Pavlac,Philosophy & Religion,0.685447625,0.636144924,,,,,
Claws vs. Nails - Matthew Borths,Science & Technology,0.741986057,0.638877572,,,,,
Can you solve the death race riddle? - Alex Gendler,Thinking & Learning,0.728202237,0.578130688,,,,,
Systemic racism explained,Science & Technology,0.688247539,0.499913611,,,,,
Is there a secret to creativity?,"Design, Engineering & Technology",0.7631723,0.645931248,,,,,
Why can't dogs eat chocolate?,Science & Technology,0.730930548,0.025128345,,,,,
The most colorful gemstones on Earth - Jeff Dekofsky,Health,0.785486037,0.88052124,,,,,
3 myths about racism that keep the US from progress - Candis Watts Smith,Social Studies,0,0,,,,,
"What causes opioid addiction, and why is it so tough to combat? - Mike Davis",Health,0.761593865,0.124802018,,,,,
Learn to read | Phonics for kids | Long vowels - OU and OY,Literature & Language,0.746952999,0.655301397,,,,,
The fascinating history of cemeteries - Keith Eggener,Social Studies,0.704483436,0.577452938,,,,,
How to be confident,Motivation and Emotion,0.682984407,0.344906685,,,,,
"Why should you read ""The Master and Margarita""? - Alex Gendler",Literature & Language,0.755488496,0.51197412,,,,,
Can you solve the sorting hat riddle? - Dan Katz and Alex Rosenthal,Thinking & Learning,0.745005877,0.366020635,,,,,
Turbulence: one of the great unsolved mysteries of physics - Tom??s Chor,Science & Technology,0.742009014,0.526794365,,,,,
Can steroids save your life? - Anees Bahji,Health,0.746788166,0.669418328,,,,,
"Why should you read ""A Midsummer Night's Dream?"" - Iseult Gillespie",Literature & Language,0.767926625,0.727218701,,,,,
The myth of Jason and the Argonauts - Iseult Gillespie,Social Studies,0.700526965,0.413062489,,,,,
Why women's clothing sizes don't make sense,Area Studies,0.71041997,0.978117066,,,,,
"This-song to teach the sight word ""this""",Literature & Language,0.716059272,0.650039842,,,,,
Elbow Grease - Read aloud picture book,Literature,0.787271159,0.533360843,,,,,
Where do your online returns go? - Aparna Mehta,Environmental Science,0.682124211,0.399341068,,,,,
Why every world map is wrong - Kayla Wolf,Social Studies,0.701463212,0.701554384,,,,,
World's most asked questions: how can I get rid of the hiccups?,Health,0.782713625,0.032908118,,,,,
The taxonomy of candy,Anthropology,0.725152896,0.491299312,,,,,
Will there ever be a mile-high skyscraper? - Stefan Al,"Design, Engineering & Technology",0.686022058,0.433121528,,,,,
I am Abraham Lincoln,Social Studies,0,0,,,,,
The terrifying truth about bananas,Science & Technology,0.771783504,0.455865633,,,,,
6 ways to start a sentence | Sentence structure | Learn to write,Writing/Composition,0.705339984,0.234764799,,,,,
Axolotls are masters of regeneration,Life Sciences,0.716383727,0.675621379,,,,,
The fish that walk on land - Noah R. Bressman,Science & Technology,0.711492381,0.53873867,,,,,
The wild world of carnivorous plants - Kenny Coogan,Science & Technology,0.737245984,0.889401243,,,,,
How rollercoasters affect your body - Brian D. Avery,"Design, Engineering & Technology",0.738273675,0.599618194,,,,,
A day in the life of a Cossack warrior - Alex Gendler,History,0.720826834,0.600568041,,,,,
Facts about pumpkins you never knew,Social Studies,0.759653753,0.737096979,,,,,
Digraphs | Phonics song for children | Phonemic awareness,Literature & Language,0.801142129,0.388168631,,,,,
A Vanishing Island Off the Louisiana Coast,Health,0.735316714,0.561659769,,,,,
The lovable (and lethal) sea lion - Claire Simeone,Health,0.734608132,0.406338125,,,,,
Why should you read Kurt Vonnegut? - Mia Nacamulli,Literature & Language,0.742598207,0.228060296,,,,,
Architecture adventure: Crash Course Kids,"Design, Engineering & Technology",0.734327445,0.11004188,,,,,
How close are we to uploading our minds? - Michael S. A. Graziano,Science & Technology,0.699894841,0.377766995,,,,,
The dark history of zombies - Christopher M. Moreman,Philosophy & Religion,0.696647896,0.973356899,,,,,
How much electricity does it take to power the world?,Science & Technology,0.701886675,0.41849456,,,,,
Embrace the Shake - Phil Hansen,Visual Arts,0,0,,,,,
"Why should you read Shakespeare's ""The Tempest""? - Iseult Gillespie",Literature & Language,0.744354885,0.397383382,,,,,
The benefits of a good night's sleep - Shai Marcu,Health,0.690033403,0.100086916,,,,,
Why don't country flags use the color purple?,Social Studies,0.72851652,0.43595487,,,,,
Why is pneumonia so dangerous? - Eve Gaus and Vanessa Ruiz,Psychology,0.738940044,0.740855577,,,,,
When is a pandemic over?,Public Health,0.688701855,0.465121379,,,,,
What is echolocation?,Science & Technology,0.715149505,0.724843891,,,,,
Contractions! | English grammar practice,Literature & Language,0.733183796,0.861441766,,,,,
Could a breathalyzer detect cancer? - Julian Burschka,Philosophy & Religion,0.704493728,0.20743782,,,,,
5 ways social media is changing your brain,Psychology,0.684732698,0.822088085,,,,,
Malcolm X biography,History,0.836996211,0.417407261,,,,,
How to outsmart the Prisoner's Dilemma - Lucas Husted,Thinking & Learning,0.679362384,0.185931177,,,,,
How to spot a liar - Pamela Meyer,Psychology,0,0,,,,,
How does herd immunity work?,Business & Economics,0,0,,,,,
Why can't we talk about periods? - Jen Gunter,Health,0,0,,,,,
Learn to read | Phonics for kids | Long I Vowels,Literature & Language,0.7597175,0.610961221,,,,,
"Why should you read ""Kafka on the Shore""? - Iseult Gillespie",Literature & Language,0.707549912,0.617567277,,,,,
Can you solve the stolen rubies riddle? - Dennis Shasha,Mathematics,0.763088296,0.272304213,,,,,
Can you solve the giant iron riddle? - Alex Gendler,Mathematics,0.752390294,0.665802479,,,,,
"The Greek myth of Talos, the first robot - Adrienne Mayor",Social Studies,0.775907009,0.657266503,,,,,
Art with Mati and Dada ?€? Berthe Morisot,Visual Arts,0.726665418,0.476836241,,,,,
The Chinese myth of the white snake and the meddling monk - Shunan Teng,Science & Technology,0.760534632,0.435373066,,,,,
How to stay calm under pressure - Noa Kageyama and Pen-Pen Chen,Health,0.731548276,0.549402932,,,,,
How does alcohol make you drunk? - Judy Grisel,Health,0.741484434,0.532027567,,,,,
Why do people fear the wrong things? - Gerd Gigerenzer,History,0.816471896,0.187374663,,,,,
Punctuation explained (by Punctuation!),Literature & Language,0.721745885,1,,,,,
How do ocean currents work? - Jennifer Verduin,Science & Technology,0.754983988,0.501267996,,,,,
The most horrifying parasites on the planet,Social Studies,0.748742144,0.620909238,,,,,
The dark history of the overthrow of Hawaii - Sydney Iaukea,Social Studies,0.754180862,0.5663628,,,,,
Can you solve the world's most evil wizard riddle? - Dan Finkel,Thinking & Learning,0.67790294,0.77794068,,,,,
What if all the sea water became fresh water?,Earth and Space Science,0.694181128,1,,,,,
How to spot a pyramid scheme - Stacie Bosley,Business & Economics,0.685246695,0.339130408,,,,,
Why do you get a fever when you're sick? - Christian Moro,Business & Economics,0.764274538,0.499429393,,,,,
How fast can a vaccine be made? - Dan Kwartler,Public Health,0.69809285,0.448452611,,,,,
How your split ends can help clean oil spills,Earth and Space Science,0.712592356,0.667723724,,,,,
Evolution's great mystery: Language - Michael Corballis,Literature & Language,0.705233101,0.610162654,,,,,
How short selling works,Linguistics,0,0,,,,,
The dark history of IQ tests - Stefan C. Dombrowski,History,0.72907567,0.274800491,,,,,
Does time exist? - Andrew Zimmerman Jones,Science & Technology,0.741268487,0.383002808,,,,,
The material that could change the world... for a third time,Science & Technology,0.69886833,0.524339472,,,,,
The secret to rising sea levels,Health,0.693762678,0.683684594,,,,,
Hawking's black hole paradox explained - Fabio Pacucci,Earth and Space Science,0.72167473,0.282566553,,,,,
Can you spot the problem with these headlines? (Level 1) - Jeff Leek and Lucy McGowan,Literature & Language,0.714764283,0.259926676,,,,,
Learn to use suffixes -le -al -el with the Singing Nun | Educational song,Literature & Language,0.74696423,0.667938802,,,,,
What happens in your body when you swallow gum?,Health,0.706161468,0.693408842,,,,,
How to change your behavior for the better - Dan Ariely,Psychology,0,0,,,,,
The secret messages of Viking runestones - Jesse Byock,Health,0.735418021,0.7145785,,,,,
Why should you read Flannery O'Connor? - Iseult Gillespie,Literature & Language,0.763592623,0.650005344,,,,,
How the Monkey King escaped the underworld - Shunan Teng,Social Studies,0.697715229,0.634809762,,,,,
How do antidepressants work? - Neil R. Jeyasingam,Psychology,0.696161715,0.47733569,,,,,
Mom vs. dad: What did you inherit?,Health,0.667043995,0.589646944,,,,,
Fruits and veggies for kids/Eat your rainbow,Nutrition,0.747763853,0.525749254,,,,,
Why the ancient Greeks couldn't see blue,Science & Technology,0.692908372,1,,,,,
The high-stakes race to make quantum computers work - Chiara Decaroli,Mathematics,0.697608751,0.651492737,,,,,
"Did we domesticate dogs, or did dogs domesticate us?",Science & Technology,0.671512433,0.421897001,,,,,
What stretching actually does to your body,Social Studies,0,0,,,,,
How do investors choose stocks? - Richard Coffin,Health,0.74686006,0.313341986,,,,,
The philosophy of cynicism - William D. Desmond,Literature & Language,0.741722511,0.392009458,,,,,
Gang of 3 | Sound of 3 consonants,Literature & Language,0.726488583,0.406693217,,,,,
The history of colonial America,History,0.721759312,0.119582407,,,,,
Art with Mati and Dada ?€? Hokusai,Visual Arts,0.752138352,0.647436185,,,,,
When is Thanksgiving?,Social Studies,0,0,,,,,
The Maya myth of the morning star,Social Studies,0.665757455,0.605556281,,,,,
What's a conure?,Science & Technology,0.758917331,0.628002027,,,,,
