Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L,,,,,,,
What is schizophrenia? - Anees Bahji,Health,0.29684492,0.026666667,0.229982175,0.133333333,0,0.133333333,,,,,,,
How do pelicans survive their death-defying dives?,Environmental Science,0.374756856,0.070588235,0.332651593,0.039005439,0,0.039005439,,,,,,,
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.494681803,0.187418301,0.45245958,0.172222222,0.014285714,0.172222222,,,,,,,
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.386955267,0.163157895,0.329119769,0.14468254,0.075,0.14468254,,,,,,,
Fabulous food chains,Environmental Science,0.421589119,0.124836601,0.307076046,0.072455322,0.044487734,0.072455322,,,,,,,
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.294151684,0.122215521,0.276760379,0.120821662,0.026581197,0.109710551,,,,,,,
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.29850588,0,0.255231026,0.16511495,0.013333333,0.159232597,,,,,,,
Volcanic eruption explained - Steven Anderson,Science & Technology,0.180356532,0.017391304,0.157401709,0.09515873,0.016666667,0.09515873,,,,,,,
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.43326784,0.159629218,0.32662219,0.052125081,0.012222222,0.049862637,,,,,,,
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.446981089,0.169164087,0.390214172,0.064148352,0,0.056456044,,,,,,,
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.34451567,0.046753247,0.28988604,0.13853821,0.007142857,0.13853821,,,,,,,
How this disease changes the shape of your cells - Amber M. Yates,Health,0.495100693,0.26381478,0.476053074,0.045,0,0.045,,,,,,,
The counting by fives song | Counting songs,Numbers & Operations,0.321971014,0.09271598,0.237130435,0.225,0,0.225,,,,,,,
Why do we have leap years?,Teaching & Education,0.160793797,0,0.160793797,0.0814498,0,0.0814498,,,,,,,
Is binge watching bad for you?,Health,0.189313849,0.023589744,0.165764648,0.051666667,0,0.051666667,,,,,,,
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.105263158,0,0.105263158,0,0,0,,,,,,,
Why do we wrinkle when wet?,Health,0.226127207,0.052237039,0.160313928,0.025,0.016666667,0.025,,,,,,,
3D shapes song | Shapes for kids,Geometry,0.434135338,0.067973856,0.372030075,0,0,0,,,,,,,
The most common STI in the world - Emma Bryce,Literature & Language,0.471512114,0.075,0.364745196,0.256111111,0.028571429,0.256111111,,,,,,,
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.340136452,0.067973856,0.246988304,0.054087302,0,0.052518674,,,,,,,
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.383866504,0.069754941,0.32395116,0.07754329,0,0.06504329,,,,,,,
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.235329698,0.049235993,0.158886958,0,0,0,,,,,,,
The surprising similarities between Twister and intelligence,Health,0.331957672,0.122585859,0.331957672,0.182692308,0.114285714,0.182692308,,,,,,,
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.306215475,0.027586207,0.236019397,0.055694444,0.007142857,0.055694444,,,,,,,
Why beavers are the smartest thing in fur pants,Science & Technology,0.366284696,0.124210526,0.262948816,0,0,0,,,,,,,
Why we should draw more (and photograph less),Physical Fitness,0.237059199,0.017391304,0.161103155,0.266166817,0.096456044,0.255826061,,,,,,,
The history of manners,Psychology,0,0,0,0,0,0,,,,,,,
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.488712318,0.260851927,0.444267874,0.12,0.066666667,0.12,,,,,,,
Art with Mati and Dada ?€? Henri Matisse,Visual Arts,0.294625895,0.077782285,0.26172267,0,0,0,,,,,,,
Why don't haircuts hurt?,Science & Technology,0.296266234,0.083333333,0.265016234,0.130723945,0.021428571,0.127572685,,,,,,,
An Exercise in Self Compassion,Emotional Health,0.155585168,0.019047619,0.155585168,0.083888889,0,0.083888889,,,,,,,
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0.394590203,0.142570048,0.353968937,0,0,0,,,,,,,
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona H??rm??vaara,Literature & Language,0.395079365,0.104365079,0.356984127,0.05770202,0,0.05770202,,,,,,,
Why some people don't have an inner monologue,Psychology,0,0,0,0,0,0,,,,,,,
Can you survive nuclear fallout? - Brooke Buddemeier and Jessica S. Wieder,Science & Technology,0.369960822,0.136980411,0.217756331,0.033333333,0,0.033333333,,,,,,,
The rise and fall of the Lakota Empire - Pekka H??m??l??inen,History,0.337544527,0.15159811,0.30487786,0.083333333,0,0.083333333,,,,,,,
Climate change will displace millions. Here's how we prepare - Colette Pichon Battle,Science & Technology,0,0,0,0,0,0,,,,,,,
The counting by tens song | Counting songs,Numbers & Operations,0.357322775,0.16549062,0.357322775,0.174285714,0,0.174285714,,,,,,,
Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,Science & Technology,0.278350064,0.053333333,0.23390562,0.053968254,0,0.053968254,,,,,,,
The physics of surfing - Nick Pizzo,Science & Technology,0.272588235,0.052964427,0.216392157,0.121675408,0.045324675,0.121675408,,,,,,,
Why do these deadly insects look like flowers?,Science & Technology,0.291833657,0.0502331,0.260881276,0,0,0,,,,,,,
Better know the Mona Lisa,Visual Arts,0.295641026,0.033333333,0.20775641,0.115497835,0.058333333,0.098073593,,,,,,,
SH | fun phonics | how to read,Literature & Language,0.286956522,0.080411255,0.236231884,0.14754329,0,0.14754329,,,,,,,
What makes neon signs glow? A 360 degree animation - Michael Lipman,"Design, Engineering & Technology",0.264514712,0.057229437,0.212274923,0,0,0,,,,,,,
Prohibition: Banning alcohol was a bad idea... - Rod Phillips,Social Studies,0.371514418,0.163684464,0.321514418,0.032259407,0,0.032259407,,,,,,,
How the COVID-19 vaccines were created so quickly - Kaitlyn Sadtler and Elizabeth Wayne,Health,0.346761625,0.056015326,0.180265326,0.071590909,0,0.071590909,,,,,,,
The science of Flint's water crisis,Public Health,0,0,0,0,0,0,,,,,,,
How bones make blood - Melody Smith,Health,0.486421762,0.150562771,0.433391459,0.335739261,0.1,0.321380286,,,,,,,
How soap kills the coronavirus,Public Health,0.261069597,0.016666667,0.200446886,0.074404762,0,0.074404762,,,,,,,
What makes TB the world's most infectious killer? - Melvin Sanicas,Science & Technology,0.40042735,0,0.355982906,0.071428571,0,0.071428571,,,,,,,
The world's ugliest animal,Environmental Science,0.454187192,0.201196581,0.375459024,0.067672456,0.022222222,0.061790103,,,,,,,
Why is this painting so shocking? - Iseult Gillespie,The Arts,0.288109586,0.047619048,0.183184168,0.113333333,0.025,0.113333333,,,,,,,
The imaginary king who changed the real world - Matteo Salvadore,Social Studies,0.357808777,0.10770954,0.264980146,0.119203297,0,0.119203297,,,,,,,
What happens when you lose a balloon?,Science & Technology,0.364469144,0.074087179,0.28119429,0.052846577,0.005882353,0.052846577,,,,,,,
The quest for the perfect apple,Science & Technology,0.360527617,0.14505176,0.322623492,0.088888889,0.028571429,0.088888889,,,,,,,
3 bizarre (and delightful) ancient theories about bird migration - Lucy Cooke,Literature & Language,0.345632184,0.083850932,0.276212644,0.122294372,0,0.095930736,,,,,,,
Why perfect grades don't matter,Teaching & Education,0.326499403,0.18,0.309832736,0,0,0,,,,,,,
Can you trust your ears? (audio illusions),Health,0.25002886,0.058181818,0.215743146,0.163510964,0.005555556,0.158510964,,,,,,,
Why is my leg asleep?,Health,0.321106301,0.04967033,0.222376142,0.033333333,0,0.033333333,,,,,,,
Why don't we throw trash in volcanoes?,Science & Technology,0.120200501,0,0.120200501,0.023611111,0,0.023611111,,,,,,,
Is life meaningless? And other absurd questions - Nina Medvinskaya,Philosophy,0.335083757,0.074882859,0.247071711,0.118095238,0,0.118095238,,,,,,,
"Why should you read ""Moby Dick""? - Sascha Morrell",Literature & Language,0.523996265,0.212719298,0.376215941,0.066666667,0,0.066666667,,,,,,,
Why do American schools have such long hours?,Teaching & Education,0.205155196,0.011764706,0.156266307,0.013636364,0,0.013636364,,,,,,,
Here Comes Teacher Cat - Read aloud picture book,Literature,0.524880383,0.28459893,0.524880383,0.096347531,0,0.096347531,,,,,,,
What happens when nature goes viral?,Science & Technology,0.25979798,0.062285714,0.244983165,0.0997558,0.033333333,0.0997558,,,,,,,
The myth of Loki and the master builder - Alex Gendler,Literature & Language,0.379681021,0.106666667,0.379681021,0.316666667,0.1,0.316666667,,,,,,,
How Thor got his hammer - Scott A. Mellor,Social Studies,0.370062112,0.130576441,0.324347826,0.122199198,0.02047619,0.097517825,,,,,,,
Helping others makes us happier--- but it matters how we do it - Elizabeth Dunn,Psychology,0,0,0,0,0,0,,,,,,,
"What is Juneteenth, and why is it important? - Karlos K. Hill and Soraya Field Fiorio",Social Studies,0.423626842,0.228477444,0.404579223,0.10059193,0.040699096,0.09625461,,,,,,,
Why should you read Sylvia Plath? - Iseult Gillespie,Literature & Language,0.314261574,0.144957983,0.225048407,0.441313131,0.25,0.441313131,,,,,,,
There may be extraterrestrial life in our solar system - Augusto Carballido,Science & Technology,0.376068376,0.116666667,0.337179487,0.1,0,0.1,,,,,,,
The Princess and the Pea - Read aloud picture book,Literature,0.330414502,0.09964503,0.30460805,0.170658851,0.112517483,0.161567942,,,,,,,
Can you solve the secret sauce riddle? - Alex Gendler,Problem Solving,0.396145183,0.032840722,0.26777753,0.088333333,0,0.088333333,,,,,,,
The secret society of the Great Dismal Swamp - Dan Sayers,Social Studies,0.368248701,0.120050125,0.230990447,0.048611111,0.016666667,0.048611111,,,,,,,
Why parrots can talk like humans,Life Sciences,0.430525545,0.150417284,0.367756314,0.009090909,0,0.009090909,,,,,,,
Your brain hallucinates your conscious reality - Anil Seth,"Consciousness, Sensation and Perception",0,0,0,0,0,0,,,,,,,
Can you solve the Ragnarok riddle? - Dan Finkel,Thinking & Learning,0.353269554,0.123263403,0.274265891,0.092222222,0.0125,0.092222222,,,,,,,
What is depression? - Helen M. Farrell,Psychology,0.321412698,0.087321374,0.299190476,0.220952381,0,0.220952381,,,,,,,
Why does smoke follow you around a fire?,Science & Technology,0.156587615,0.019047619,0.121805007,0.067122132,0,0.067122132,,,,,,,
How to deal with rejection,Psychology,0.282599602,0.014814815,0.205506006,0.130856782,0.02,0.126690115,,,,,,,
Plurals -s -es | Learn to Spell,Literature & Language,0.314109516,0.023529412,0.274875066,0.025,0,0.025,,,,,,,
How to find area and perimeter,Mathematics,0.456456343,0.299822019,0.374224316,0.124020979,0.044444444,0.113831169,,,,,,,
What you should know about vaping and e-cigarettes - Suchitra Krishnan-Sarin,Health,0,0,0,0,0,0,,,,,,,
Make your own cartoon!,Visual Arts,0.355112045,0.091675342,0.244397759,0.189207196,0.036607143,0.186002068,,,,,,,
How do crystals work? - Graham Baird,Science & Technology,0.333691046,0.100920716,0.317691046,0.063138528,0,0.057186147,,,,,,,
Why is cotton in everything? - Michael R. Stiff,Science & Technology,0.466033785,0.150762527,0.372832612,0.05,0,0.05,,,,,,,
How much sleep do you actually need?,Health,0.342200061,0.150973085,0.326815445,0,0,0,,,,,,,
This thought experiment will help you understand quantum mechanics - Matteo Fadel,Psychology,0.362393162,0.103496503,0.362393162,0.187080244,0.016666667,0.18279453,,,,,,,
The history of the world according to cats - Eva-Maria Geigl,Social Studies,0.425899878,0.219230769,0.391467643,0.05,0.05,0.05,,,,,,,
"""Other"": A brief history of American xenophobia",Social Studies,0.322330199,0.044444444,0.206248694,0.16280525,0.009090909,0.16280525,,,,,,,
The New Baby by Mercer Mayer - Read aloud book,Literature,0.312205659,0.085052632,0.312205659,0.353658009,0.176031746,0.343658009,,,,,,,
How one scientist took on the chemical industry - Mark Lytle,Public Health,0.299232737,0.044047619,0.254788292,0.152762638,0.030519481,0.142330586,,,,,,,
Does aloe vera really treat a sunburn?,Earth and Space Science,0.279023199,0.106497076,0.202938543,0.032619048,0,0.032619048,,,,,,,
Why do humans have a third eyelid? - Dorsa Amin,Life Sciences,0.385047619,0.185178879,0.344047619,0.041666667,0.015384615,0.035,,,,,,,
Art with Mati & Dada | Kandinsky,Visual Arts,0.191860867,0.075259259,0.178067764,0.039835165,0,0.039835165,,,,,,,
Can you solve the secret werewolf riddle? - Daniel Finkel,Mathematics,0.361796917,0.229150327,0.339574694,0.158333333,0.05,0.158333333,,,,,,,
"If your hands could smell, you'd be an octopus",Science & Technology,0.405455472,0.114686717,0.366442546,0,0,0,,,,,,,
Polygon song,Geometry,0.52248022,0.207773109,0.39251806,0.2,0.025,0.2,,,,,,,
The coronavirus explained and how you can combat it,Public Health,0.389470561,0.1017249,0.319175505,0.017857143,0,0.017857143,,,,,,,
Five oceans song,Geography,0.31724341,0.043333333,0.232444157,0,0,0,,,,,,,
Why some people find exercise harder than others - Emily Balcetis,"Design, Engineering & Technology",0,0,0,0,0,0,,,,,,,
Closed and open syllables | Learn to read,Literature & Language,0.587989204,0.175630252,0.463292848,0.153333333,0.075,0.153333333,,,,,,,
Zumbi: The last king of Palmares - Marc Adam Hertzman & Flavio dos Santos Gomes,Social Studies,0.31044241,0.078388278,0.245331808,0,0,0,,,,,,,
What would happen if you stopped brushing your teeth?,Physical Science,0.359071484,0.095454545,0.359071484,0.069940476,0,0.069940476,,,,,,,
A brief history of chess - Alex Gendler,Thinking & Learning,0.36952381,0.017391304,0.244539683,0.071336996,0,0.071336996,,,,,,,
Your body vs. Implants - Kaitlyn Sadtler,Science & Technology,0.355606547,0.105755059,0.315146777,0.025,0,0.025,,,,,,,
What is monkeypox?,Health,0.344320416,0.037719298,0.2237353,0,0,0,,,,,,,
How does the Rorschach inkblot test work? - Damion Searls,Psychology,0.388441558,0.160379041,0.280649351,0.189134346,0.029090909,0.180653954,,,,,,,
Can you solve the troll's paradox riddle? - Dan Finkel,Mathematics,0.356297082,0.074057971,0.267533156,0.264087302,0.108730159,0.264087302,,,,,,,
How do you know what's true? - Sheila Marie Orfano,Psychology,0.36172637,0.150588235,0.288040219,0.136321807,0,0.131321807,,,,,,,
Shapes song for kids,Geometry,0.445807091,0.136888889,0.404325609,0.8,0,0.8,,,,,,,
How a case gets to the US Supreme Court,Social Studies,0.476923077,0.213203463,0.444871795,0.133809524,0.016666667,0.133809524,,,,,,,
Why is it so hard to break a bad habit?,Psychology,0.328933435,0.075714286,0.27216951,0.14545306,0.021111111,0.137877302,,,,,,,
The L-iminator! | The double L spelling rule,Literature & Language,0.430420168,0.067511655,0.218823529,0.054285714,0,0.054285714,,,,,,,
Why 350 degreeF is the magic number for baking,Social Studies,0.323962848,0.077828054,0.276904025,0.02,0,0.02,,,,,,,
Can you solve the cuddly duddly fuddly wuddly riddle? - Dan Finkel,Mathematics,0.370498599,0.161853316,0.370498599,0.156623094,0.029333333,0.147472767,,,,,,,
What was so special about Viking ships? - Jan Bill,"Design, Engineering & Technology",0.25372549,0.118681319,0.25372549,0,0,0,,,,,,,
The physics of a pool vortex,Science & Technology,0.316990352,0.098289377,0.291892312,0,0,0,,,,,,,
A day in the life of an ancient Greek architect - Mark Robinson,"Design, Engineering & Technology",0.297472469,0.081751634,0.282657654,0,0,0,,,,,,,
The importance of setting in a story,Literature & Language,0.454056089,0.153195489,0.377213125,0.168770951,0.068333333,0.168770951,,,,,,,
Why haven't we cured arthritis? - Kaitlyn Sadtler and Heather J. Faust,Health,0.260439174,0.022222222,0.260439174,0.014285714,0,0.014285714,,,,,,,
"Homophone song: There, Their, They're",Literature & Language,0.270559006,0,0.170062112,0.333333333,0,0.333333333,,,,,,,
How can we solve the antibiotic resistance crisis? - Gerry Wright,Health,0.42219121,0.110117647,0.295330498,0.159809635,0.071590909,0.143445998,,,,,,,
This sea creature breathes through its butt - Cella Wright,Science & Technology,0.369826688,0.133142938,0.330592238,0.13468254,0.02,0.13468254,,,,,,,
How far would you have to go to escape gravity? - Rene Laufer,Science & Technology,0.39265981,0.166355431,0.300036298,0.222769803,0.096437908,0.201149757,,,,,,,
Can animals be deceptive? - Eldridge Adams,Science & Technology,0.206031969,0.019047619,0.206031969,0.047852148,0,0.047852148,,,,,,,
Old MacDonald had some vowels | AEIOU,Literature & Language,0.319857241,0.103767507,0.205830753,0,0,0,,,,,,,
Do we own the land?,Social Studies,0.230172414,0.056296296,0.205172414,0,0,0,,,,,,,
"Why should you read ""Midnight's Children""? - Iseult Gillespie",Literature & Language,0.452569659,0.15372549,0.314922601,0.057222222,0,0.057222222,,,,,,,
The fascinating physics of boat wakes,Science & Technology,0.246636408,0.069565217,0.201622163,0.066666667,0,0.066666667,,,,,,,
The advanced colors song | Art songs,Visual Arts,0.42320802,0.163122172,0.377343358,0.186666667,0.025,0.153333333,,,,,,,
Building the world's largest (and most controversial) power plant - Alex Gendler,Thinking & Learning,0.553558442,0.254396135,0.503376623,0.025980392,0,0.022619048,,,,,,,
Underwater farms vs. Climate change - Ayana Elizabeth Johnson and Megan Davis,Thinking & Learning,0.318414898,0.089737415,0.293510684,0.109444444,0,0.109444444,,,,,,,
"Human, capital & natural resources for kids | Types of resources",Social Studies,0.408665141,0.208230985,0.408665141,0.301108777,0,0.301108777,,,,,,,
Can you solve the jail break riddle? - Dan Finkel,Mathematics,0.271391941,0.034848485,0.204959707,0.20427521,0.107692308,0.20427521,,,,,,,
Can you be awake and asleep at the same time? - Masako Tamaki,Health,0.396057348,0.117857143,0.330250896,0.121358543,0.05,0.121358543,,,,,,,
A day in the life of a teenage samurai - Constantine N. Vaporis,Social Studies,0.230593792,0,0.177489879,0.045,0.0225,0.045,,,,,,,
"Why we say ""OK""",Literature & Language,0.196172249,0.025,0.147129187,0.125,0,0.125,,,,,,,
The Japanese folktale of the selfish scholar - Iseult Gillespie,Social Studies,0.315898838,0.065751634,0.254846206,0.090672106,0,0.090672106,,,,,,,
Why do India and China have so many people?,Social Studies,0.289433172,0.066782609,0.258618357,0.05,0.05,0.05,,,,,,,
Can you trust your eyes?,Science & Technology,0.392597547,0.118903319,0.33516165,0.237919719,0.034090909,0.224261294,,,,,,,
"Mating frenzies, sperm hoards, and brood raids: The life of a fire ant queen - Walter R. Tschinkel",Earth and Space Science,0.238506494,0.028571429,0.213506494,0.124726786,0.007692308,0.109730774,,,,,,,
The psychology of post-traumatic stress disorder - Joelle Maletis,Health,0.337329337,0.018181818,0.235997336,0.089285714,0.016666667,0.089285714,,,,,,,
What's the smartest age? - Shannon Odell,Thinking & Learning,0.329289891,0.042105263,0.287184628,0.146666667,0.066666667,0.146666667,,,,,,,
Black Friday: An accident of history,Nutrition,0.368910217,0.155566922,0.289851393,0,0,0,,,,,,,
How ingenious animals have engineered air conditioning,"Design, Engineering & Technology",0.261513688,0,0.221256039,0.104166667,0,0.104166667,,,,,,,
The golf ball that made golfers too good,"Design, Engineering & Technology",0.383812735,0.074432234,0.2997102,0.161071429,0.095,0.161071429,,,,,,,
The lines song | Art songs,Visual Arts,0.280634921,0.100417711,0.261587302,0.535,0.157692308,0.535,,,,,,,
Can you solve the monster duel riddle? - Alex Gendler,Science & Technology,0.399383972,0.083627863,0.333817539,0,0,0,,,,,,,
Which animal murders the most?,Science & Technology,0.395099868,0.230132749,0.379099868,0.25,0,0.25,,,,,,,
Game theory challenge: Can you predict human behavior? - Lucas Husted,Critical Thinking,0.2688397,0.086387708,0.200087988,0.082666675,0,0.070594354,,,,,,,
The Snowy Day - Read aloud picture book,Literature,0.482875817,0.248333333,0.482875817,0.176587302,0,0.176587302,,,,,,,
Why do venomous animals live in warm climates?,Science & Technology,0,0,0,0,0,0,,,,,,,
What's in the air you breathe? - Amy Hrdina and Jesse Kroll,Health,0.372159834,0.095,0.353978015,0.11484127,0.039285714,0.11484127,,,,,,,
Grief and love in the animal kingdom - Barbara J. King,Life Sciences,0,0,0,0,0,0,,,,,,,
The tale of the doctor who defied Death - Iseult Gillespie,Literature & Language,0.354470046,0.101512402,0.209185868,0.121688312,0.023318713,0.095941558,,,,,,,
The surprising truth about what motivates us,Motivation and Emotion,0,0,0,0,0,0,,,,,,,
Fun cartoon on Dr. Martin Luther King Jr. for Kids!,History,0.513700919,0.319001032,0.383870788,0.008333333,0,0.008333333,,,,,,,
The dangerous race for the South Pole - Elizabeth Leane,Social Studies,0.353928395,0.076688453,0.313928395,0.213898046,0.065757576,0.208342491,,,,,,,
How close are we to eradicating HIV? - Philip A. Chan,Literature & Language,0.23745098,0,0.213921569,0.122424242,0,0.104090909,,,,,,,
The bug that poops candy - George Zaidan,Life Sciences,0.375740741,0.121764411,0.227962963,0,0,0,,,,,,,
How stress affects your brain - Madhumita Murgia,Health,0.371014202,0.16122291,0.326569758,0.095406897,0.023033217,0.095406897,,,,,,,
Three ways the universe could end - Venus Keus,Science & Technology,0.43726817,0.221060149,0.415045948,0,0,0,,,,,,,
What causes heartburn? - Rusha Modi,Health,0.442424242,0.175,0.378932179,0.063501401,0.01,0.059056956,,,,,,,
The ballet that incited a riot - Iseult Gillespie,Performing Arts,0.510778372,0.406666667,0.510778372,0.05,0.05,0.05,,,,,,,
The world's largest organism - Alex Rosenthal,Earth and Space Science,0.22307661,0.043968254,0.150828422,0.088644689,0.05,0.081501832,,,,,,,
Corals reefs aren't as doomed as you think,Science & Technology,0,0,0,0,0,0,,,,,,,
The Bear Ate Your Sandwich - Read aloud picture book,Literature,0.407079153,0.141991342,0.294091416,0.139166667,0,0.139166667,,,,,,,
Why does smoked brisket taste so delicious?,Science & Technology,0.353113553,0.095435897,0.338298738,0,0,0,,,,,,,
How Does It Grow? Cranberries,Nutrition,0.359057239,0.014285714,0.282727273,0.097550905,0.022900433,0.089858597,,,,,,,
A brief history of plastic,Environmental Science,0.342905408,0.108443936,0.319375997,0,0,0,,,,,,,
The dust bunnies that built our planet - Lorin Swint Matthews,Earth and Space Science,0.269945698,0.095588235,0.247723475,0.122951005,0,0.11054499,,,,,,,
How does alcohol cause hangovers? - Judy Grisel,Health,0.316274916,0.063157895,0.253131977,0.128452381,0,0.110198413,,,,,,,
A day in the life of a Peruvian shaman - Gabriel Prieto,Social Studies,0.226666667,0,0.176666667,0.047424242,0,0.047424242,,,,,,,
How to be more empathetic,Psychology,0.201538462,0,0.121880342,0.007142857,0,0.007142857,,,,,,,
Frederick Douglass for kids (cartoon biography),History,0.340399653,0.188025767,0.310113938,0.170584138,0.024358974,0.155584138,,,,,,,
Phonics - Learn to read the letter 'R',Literature & Language,0.246169935,0.042391304,0.230169935,0.02,0,0.02,,,,,,,
Why good ideas get trapped in the valley of death--- and how to rescue them,Business & Economics,0.415247816,0.247079463,0.351637863,0.20997416,0.068108974,0.186771545,,,,,,,
"What's a squillo, and why do opera singers need it? Ming Luke",Performing Arts,0.407055458,0.147959938,0.25603051,0.203571429,0,0.203571429,,,,,,,
What yoga does to your body and brain - Krishna Sudhir,Health,0.331068779,0.023529412,0.230681447,0.009090909,0,0.009090909,,,,,,,
Are the illuminati real? - Chip Berlet,History,0.444299179,0.197792208,0.378681463,0.115,0,0.115,,,,,,,
Is sitting too close to the TV really bad for you?,Health,0.20093128,0.02,0.142155113,0.054845328,0,0.054845328,,,,,,,
Are we all related?,Psychology,0.258824302,0.031677019,0.188078818,0.108333333,0.025,0.108333333,,,,,,,
My Friend Maggie - Today I learned - Read aloud picture book,Literature,0.159831686,0.093895668,0.145545971,0.05,0,0.05,,,,,,,
Using TCH or CH | Sounds of TCH and CH | Learn to read,Literature & Language,0.283757906,0.050889914,0.193999468,0,0,0,,,,,,,
Why you don't hear about the ozone layer anymore,Science & Technology,0.346304893,0.132301342,0.244755367,0,0,0,,,,,,,
Why do we eat spoiled food?,History,0.223199385,0.04,0.17088457,0.007692308,0,0.007692308,,,,,,,
What is consciousness? - Michael S. A. Graziano,Health,0.306977589,0.131277056,0.271263303,0.113237122,0,0.094421134,,,,,,,
How do ventilators work? - Alex Gendler,Public Health,0.357272727,0.085714286,0.339090909,0.253015873,0.1125,0.245873016,,,,,,,
Can you solve the time travel riddle? - Dan Finkel,Mathematics,0.338703036,0.056277056,0.293133143,0.026358543,0,0.026358543,,,,,,,
Watch this educational video for children with a Rosa Parks biography,History,0.286790987,0.130808081,0.248609169,0.078889951,0,0.075043797,,,,,,,
What is a butt tuba and why is it in medieval art? - Michelle Brown,Social Studies,0.388972431,0.147685957,0.332581454,0.118493173,0,0.118493173,,,,,,,
The rise and fall of the Mongol Empire - Anne F. Broadbridge,History,0.465520769,0.27626409,0.465520769,0.05,0.05,0.05,,,,,,,
Where did Earth's water come from?,Earth and Space Science,0.463853826,0.236632058,0.446462521,0.08739991,0.027777778,0.08739991,,,,,,,
I Just Forgot by Mercer Mayer,Literature,0.210124799,0.058105263,0.210124799,0.053333333,0.03,0.053333333,,,,,,,
