title,category,average-bleu,average-rouge,average-bert-score,average-cosine-similarity
How does fracking work? - Mia Nacamulli,"Design, Engineering & Technology",0.669573528,0.141710219,0.449277524,0.365321144
Epic Engineering: Building the Brooklyn Bridge - Alex Gendler,"Design, Engineering & Technology",0.673837031,0.131972238,0.458502028,0.255114828
The wildly complex anatomy of a sneaker - Angel Chang,"Design, Engineering & Technology",0.746407728,0.067513228,0.445974471,0.343261467
How feng shui shaped Hong Kong's skyline,"Design, Engineering & Technology",0.708035579,0.071544321,0.383723786,0.185457238
How do touchscreens work?,"Design, Engineering & Technology",0.659009443,0,0.435270692,0.178198254
How QWERTY conquered keyboards,"Design, Engineering & Technology",0.696753405,0.208074534,0.524218979,0.378280169
Is it possible to create a perfect vacuum? - Rolf Landua and Anais Rassat,"Design, Engineering & Technology",0.702358082,0.077080938,0.440093049,0.258787927
Who's Creating Your Digital Dossier?,"Design, Engineering & Technology",0.677036391,0.12218956,0.420181997,0.211690239
How the world's longest underwater tunnel was built - Alex Gendler,"Design, Engineering & Technology",0.65324803,0.080919809,0.421892866,0.196607377
Why beef is the worst food for the climate,"Design, Engineering & Technology",0.799479086,0.048522369,0.41339874,0.213086752
How to fly around the world without fuel,"Design, Engineering & Technology",0.73278299,0.144269072,0.461409037,0.316121815
It's not you. Claw machines are rigged.,"Design, Engineering & Technology",0.657356405,0.146687508,0.486740199,0.383472613
How will AI change the world?,"Design, Engineering & Technology",0.707596823,0.128443389,0.46832182,0.418493797
Want to survive a hurricane? Think like a tree...,"Design, Engineering & Technology",0.650449992,0.108661988,0.398665922,0.29369202
The incredible collaboration behind the International Space Station - Tien Nguyen,"Design, Engineering & Technology",0.712377852,0.117294547,0.452535156,0.301167041
How computers translate human language - Ioannis Papachimonas,"Design, Engineering & Technology",0.686854221,0.130038246,0.450799654,0.353909375
What happens if you don't put your phone in airplane mode? - Lindsay DeMarchi,"Design, Engineering & Technology",0.679923824,0.059477814,0.402658658,0.22215125
How to spot a counterfeit bill - Tien Nguyen,"Design, Engineering & Technology",0.751049268,0.121424399,0.38911401,0.277608572
How to detect a supernova - Samantha Kuula,"Design, Engineering & Technology",0.688797007,0.098061897,0.420395811,0.275391452
What's the difference between accuracy and precision? - Matt Anticole,"Design, Engineering & Technology",0.676103952,0.100996867,0.403279364,0.219341499
How transistors work - Gokul J. Krishnan,"Design, Engineering & Technology",0.737055027,0.067034774,0.478595183,0.318404615
How do hard drives work? - Kanawat Senanan,"Design, Engineering & Technology",0.662109759,0.160809319,0.477290197,0.341426638
Why danger symbols can't last forever,"Design, Engineering & Technology",0.642506671,0.118319838,0.456021075,0.324079781
What does the world's largest machine do? - Henry Richardson,"Design, Engineering & Technology",0.714572157,0.073097178,0.450309368,0.323545814
Why aren't we only using solar power? - Alexandros George Charalambides,"Design, Engineering & Technology",0.716986926,0.145608329,0.446852831,0.340283072
Why isn't the Netherlands underwater? - Stefan Al,"Design, Engineering & Technology",0.677438644,0.124812965,0.4149976,0.137730808
IMAGINE THE FUTURE with Xiye Bastida,"Design, Engineering & Technology",0.693408035,0.057493119,0.441038094,0.182673858
Can you solve the bridge riddle? - Alex Gendler,"Design, Engineering & Technology",0.72367562,0.14915873,0.452751973,0.298716085
How statistics can be misleading - Mark Liddell,"Design, Engineering & Technology",0.694132407,0.10119894,0.431034484,0.179810516
How light technology is changing medicine - Sajan Saini,"Design, Engineering & Technology",0.768706628,0.212474065,0.533771488,0.360473103
Camera or eye: Which sees better? - Michael Mauser,"Design, Engineering & Technology",0.648777419,0.113445793,0.420422095,0.42163875
Could we build a wooden skyscraper? - Stefan Al,"Design, Engineering & Technology",0.659062623,0.086753115,0.389691311,0.199672944
Why should you read sci-fi superstar Octavia E. Butler? - Ayana Jamieson and Moya Bailey,"Design, Engineering & Technology",0.698187585,0.11102232,0.411669983,0.194179891
The science of snowflakes - Maru??a Brada??,"Design, Engineering & Technology",0.661102504,0.116998327,0.445733798,0.3267735
How the toilet changed history,"Design, Engineering & Technology",0.719072795,0.069230159,0.420575014,0.248393967
Why do buildings fall in earthquakes? - Vicki V. May,"Design, Engineering & Technology",0.653692663,0.109337549,0.391483892,0.276801812
Is the weather actually becoming more extreme? - R. Saravanan,"Design, Engineering & Technology",0.669132982,0.084841692,0.436358229,0.32797466
"Why should you read ""Lord of the Flies"" by William Golding? - Jill Dash","Design, Engineering & Technology",0.364473935,0.109626216,0.258546361,0.236158068
Why do we dream? - Amy Adkins,"Design, Engineering & Technology",0.692753422,0.098986339,0.418056771,0.310977098
"Yes, scientists are actually building an elevator to space - Fabio Pacucci","Design, Engineering & Technology",0.751365152,0.137248677,0.486494806,0.337110771
How the Suez Canal changed the world - Lucia Carminati,"Design, Engineering & Technology",0.714209371,0.156343379,0.46692943,0.399214628
A brief history of video games (Part I) - Safwat Saleem,"Design, Engineering & Technology",0.735856792,0.147847938,0.438537138,0.330693763
"Blood, concrete, and dynamite: Building the Hoover Dam - Alex Gendler","Design, Engineering & Technology",0.717360575,0.108484425,0.470836423,0.347910144
Why a sausage can do what your gloves cannot - Charles Wallace and Sajan Saini,"Design, Engineering & Technology",0.715960021,0.127297362,0.489848343,0.307262033
Is Chandigarh a perfectly planned city? - Vikram??ditya Prak??sh,"Design, Engineering & Technology",0.716481717,0.142370067,0.412999006,0.372994739
Why are airplanes slower than they used to be? - Alex Gendler,"Design, Engineering & Technology",0.734570321,0.113746157,0.445190653,0.287334448
"The loathsome, lethal mosquito - Rose Eveleth","Design, Engineering & Technology",0.768772779,0.050603899,0.377265734,0.307145277
Can robots be creative? - Gil Weinberg,"Design, Engineering & Technology",0.704486818,0.16398166,0.469749641,0.427185772
How do gas masks actually work? - George Zaidan,"Design, Engineering & Technology",0.713787124,0.086188798,0.479051542,0.292940262
"Can we create the ""perfect"" farm? - Brent Loken","Design, Engineering & Technology",0.739658409,0.109496568,0.491133716,0.444413382
How to 3D print human tissue - Taneka Jones,"Design, Engineering & Technology",0.741578743,0.069436804,0.382971675,0.281903198
How cars went from boxy to curvy,"Design, Engineering & Technology",0.711745539,0.197999846,0.506287509,0.431378038
Why do I have to use a number 2 pencil?,"Design, Engineering & Technology",0.763712046,0.087782588,0.34874204,0.266257226
Could a blind eye regenerate? - David Davila,"Design, Engineering & Technology",0.66610508,0.039583333,0.37916061,0.215087744
How in vitro fertilization (IVF) works - Nassim Assefi and Brian A. Levine,"Design, Engineering & Technology",0.709731965,0.107952574,0.38674331,0.284118672
Why are beavers obsessed with dams? - Glynnis Hood,"Design, Engineering & Technology",0.721680607,0.122486466,0.447105867,0.345662636
Making a car for blind drivers - Dennis Hong,"Design, Engineering & Technology",0.657234576,0.079545455,0.428396631,0.33786788
How does your smartphone know your location? - Wilton L. Virgo,"Design, Engineering & Technology",0.673024552,0.099434431,0.445180226,0.301918512
How do pregnancy tests work? - Tien Nguyen,"Design, Engineering & Technology",0.707516314,0.080148341,0.435329024,0.23260102
"Less stuff, more happiness - Graham Hill","Design, Engineering & Technology",0.655746716,0.088982352,0.377121195,0.121260695
The sonic boom problem - Katerina Kaouri,"Design, Engineering & Technology",0.700710102,0.090611345,0.423911994,0.278813495
Fellows in the field: Skylar Tibbits,"Design, Engineering & Technology",0.731442617,0.125,0.455115639,0.264756164
How X-rays see through your skin - Ge Wang,"Design, Engineering & Technology",0.690549575,0.107233115,0.414396298,0.335422875
Toy tiles that talk to each other - David Merrill,"Design, Engineering & Technology",0.713951793,0.045454545,0.417677894,0.151272397
Under the hood: The chemistry of cars - Cynthia Chubbuck,"Design, Engineering & Technology",0.650612328,0.077666388,0.365658994,0.225057471
High-altitude wind energy from kites! - Saul Griffith,"Design, Engineering & Technology",0.673264774,0.05526606,0.436679581,0.297309219
Is there a secret to creativity?,"Design, Engineering & Technology",0.700181803,0.092932692,0.44373315,0.286477233
"Demolition, disease, and death: Building the Panama Canal - Alex Gendler","Design, Engineering & Technology",0.652501679,0.167746032,0.451856811,0.297572959
How the world's tallest skyscraper was built - Alex Gendler,"Design, Engineering & Technology",0.700106394,0.095211233,0.448418681,0.262092655
The best kindergarten you've ever seen - Takaharu Tezuka,"Design, Engineering & Technology",0.653240743,0.1875,0.533879828,0.450165697
Making a TED-Ed Lesson: Creative process,"Design, Engineering & Technology",0.605763091,0.032258065,0.356020428,-0.054369087
Why doesn't the Leaning Tower of Pisa fall over? - Alex Gendler,"Design, Engineering & Technology",0.702446331,0.14280632,0.462351182,0.343255147
How does artificial intelligence learn? - Briana Brownell,"Design, Engineering & Technology",0.681438653,0.115744124,0.440089344,0.344790511
The physics of roller coasters,"Design, Engineering & Technology",0.698011508,0.077857143,0.426525317,0.340452206
How fan films shaped The Lego Movie,"Design, Engineering & Technology",0.787378501,0.076190476,0.408715278,0.210051573
Supercharged motorcycle design - Yves Behar,"Design, Engineering & Technology",0.7414056,0.081550802,0.395926185,0.11861293
How one design flaw almost toppled a skyscraper - Alex Gendler,"Design, Engineering & Technology",0.697638397,0.13906165,0.48376936,0.340933559
A day in the life of an ancient Greek architect - Mark Robinson,"Design, Engineering & Technology",0.68257151,0.13229405,0.450625064,0.247501798
The golf ball that made golfers too good,"Design, Engineering & Technology",0.730677805,0.15172292,0.500083683,0.398028998
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.731801084,0.103994289,0.453639243,0.343897486
What was so special about Viking ships? - Jan Bill,"Design, Engineering & Technology",0.611652707,0.042675136,0.374355596,0.23966838
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.719617159,0.182050055,0.492976021,0.356407405
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.762019787,0.092136592,0.496738125,0.286698062
What makes neon signs glow? A 360 degree animation - Michael Lipman,"Design, Engineering & Technology",0.717896038,0.052137676,0.48194288,0.312593378
How ingenious animals have engineered air conditioning,"Design, Engineering & Technology",0.64338006,0.099726382,0.44930288,0.237986534
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.781944022,0.144132653,0.492540572,0.397646865
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.752013257,0.071450024,0.407767964,0.259835391
Why is that baby staring at me?,Developmental Psychology,0.665520511,0.03659612,0.37073666,0.276522097
What if the Earth stopped spinning?,Earth and Space Science,0.727669739,0.095888645,0.433040819,0.180870569
What light can teach us about the universe - Pete Edwards,Earth and Space Science,0.781867048,0.166842436,0.501428574,0.407501796
Should we eat bugs? - Emma Bryce,Earth and Space Science,0.75304401,0.032527473,0.372954858,0.200799046
Carl Sagan on the Existence of Extraterrestrials,Earth and Space Science,0.748565984,0.211044347,0.516551243,0.399892725
The tallest lifeforms of all time,Earth and Space Science,0.692714906,0.111111111,0.484806981,0.1747718
A 3D atlas of the universe - Carter Emmart,Earth and Space Science,0.713528514,0.128235653,0.418900122,0.282758031
Questioning the universe - Stephen Hawking,Earth and Space Science,0.673928473,0.129715918,0.417911653,0.239438975
How to track a tornado - Karen Kosiba,Earth and Space Science,0.646625439,0.107989258,0.403020001,0.36314862
The moon illusion - Andrew Vanden Heuvel,Earth and Space Science,0.702534261,0.215501344,0.535010543,0.444384355
Could we survive prolonged space travel? - Lisa Nip,Earth and Space Science,0.667020055,0.07715187,0.45454793,0.299236723
The Pangaea Pop-up - Michael Molina,Earth and Space Science,0.702577227,0.092319978,0.38743509,0.179469391
Hawking's black hole paradox explained - Fabio Pacucci,Earth and Space Science,0.71772591,0.150437445,0.454156704,0.368500545
A guide to the energy of the Earth - Joshua M. Sneideman,Earth and Space Science,0.667368645,0.072237039,0.448048206,0.292886532
How your split ends can help clean oil spills,Earth and Space Science,0.730365103,0.230683279,0.510593569,0.440105993
The world's largest organism - Alex Rosenthal,Earth and Space Science,0.761033691,0.076450926,0.405213739,0.263849444
What if all the sea water became fresh water?,Earth and Space Science,0.798313417,0.087030075,0.434666135,0.296557506
Eyes on the stars,Earth and Space Science,0.718327181,0.110041187,0.391437697,0.180459117
The fundamentals of space-time: Part 1 - Andrew Pontzen and Tom Whyntie,Earth and Space Science,0.736668467,0.066907871,0.388701,0.216823157
"The beginning of the universe, for beginners - Tom Whyntie",Earth and Space Science,0.735893423,0.064865597,0.44170381,0.268679743
Plants Use An Internet Made of Fungus,Earth and Space Science,0.795466021,0.112922705,0.480969077,0.319513508
How tsunamis work - Alex Gendler,Earth and Space Science,0.678832809,0.082804613,0.442043013,0.266143594
How do animals see in the dark? - Anna St??ckl,Earth and Space Science,0.690823399,0.098850571,0.445552003,0.317036209
The Arctic vs. the Antarctic - Camille Seaman,Earth and Space Science,0.674013989,0.111616162,0.434670364,0.334203681
"Mating frenzies, sperm hoards, and brood raids: The life of a fire ant queen - Walter R. Tschinkel",Earth and Space Science,0.75376546,0.068465037,0.38826886,0.244618622
Are there dead wasps in figs?,Earth and Space Science,0.732811497,0.137838469,0.461267872,0.284208627
What are gravitational waves? - Amber L. Stuver,Earth and Space Science,0.737201283,0.121454198,0.472069702,0.319101779
What on Earth is spin? - Brian Jones,Earth and Space Science,0.652724815,0.130074467,0.409879109,0.303915675
Reasons for the seasons - Rebecca Kaplan,Earth and Space Science,0.679251302,0.107749899,0.394518225,0.255705485
Who won the space race? - Jeff Steers,Earth and Space Science,0.724064413,0.094006539,0.43984559,0.260878483
Why can't we see evidence of alien life? - Chris Anderson,Earth and Space Science,0.692617068,0.075617989,0.39422309,0.192167438
"What we can learn from galaxies far, far away - Henry Lin",Earth and Space Science,0.717700876,0.110839828,0.436824768,0.358072637
The colossal consequences of supervolcanoes - Alex Gendler,Earth and Space Science,0.75283176,0.130621493,0.477643967,0.37440997
Could human civilization spread across the whole galaxy? - Roey Tzezana,Earth and Space Science,0.688226724,0.124865239,0.454067714,0.346822673
Is space trying to kill us? - Ron Shaneyfelt,Earth and Space Science,0.778689576,0.120300866,0.496094347,0.34071796
Four billion years of evolution in six minutes - Prosanta Chakrabarty,Earth and Space Science,0.716181561,0.045454545,0.480564702,0.249402691
The surprising (and invisible) signatures of sea creatures - Kakani Katija,Earth and Space Science,0.656843546,0.09818091,0.417595921,0.206853777
The basics of the Higgs boson - Dave Barney and Steve Goldfarb,Earth and Space Science,0.728813337,0.16673605,0.509251662,0.331130946
Three Ways to Destroy the Universe,Earth and Space Science,0.648307104,0.112932502,0.460559415,0.301854537
How a single-celled organism almost wiped out life on Earth - Anusuya Willis,Earth and Space Science,0.664974755,0.077551184,0.402044125,0.295098007
Why can parrots talk? - Grace Smith-Vidaurre and Tim Wright,Earth and Space Science,0.659831057,0.156734268,0.465246796,0.483579738
The fundamentals of space-time: Part 2 - Andrew Pontzen and Tom Whyntie,Earth and Space Science,0.75212728,0.093695873,0.429706021,0.231685675
The environmental cost of free two-day shipping,Earth and Space Science,0.731233745,0.043427939,0.410222951,0.194742398
The true science of parallel universes,Earth and Space Science,0.742691591,0.15112827,0.453201751,0.402298515
What outer space does to your body,Earth and Space Science,0.727219224,0.112352624,0.465457779,0.352963242
Does aloe vera really treat a sunburn?,Earth and Space Science,0.672777439,0.130260943,0.421699617,0.33114326
Dark matter: The matter we can't see - James Gillies,Earth and Space Science,0.69259588,0.169357481,0.425171189,0.312579003
Life of an astronaut - Jerry Carr,Earth and Space Science,0.724878013,0.227954352,0.511634929,0.478691711
Is there a center of the universe? - Marjee Chmiel and Trevor Owens,Earth and Space Science,0.751448385,0.11166008,0.447755845,0.272491761
Are we living in a simulation? - Zohreh Davoudi,Earth and Space Science,0.68483904,0.136833425,0.44779925,0.264210369
Calculating the odds of intelligent alien life - Jill Tarter,Earth and Space Science,0.772753761,0.261369878,0.545290951,0.412552484
The fundamentals of space-time: Part 3 - Andrew Pontzen and Tom Whyntie,Earth and Space Science,0.758351184,0.067318627,0.401996518,0.293525876
What is the universe made of? - Dennis Wildfogel,Earth and Space Science,0.732922978,0.042015251,0.366782705,0.318523032
The dust bunnies that built our planet - Lorin Swint Matthews,Earth and Space Science,0.693991794,0.095040356,0.434491163,0.36630791
How to create cleaner coal - Emma Bryce,Earth and Space Science,0.694856371,0.117161566,0.454302431,0.42368311
Will future spacecraft fit in our pockets? - Dhonam Pemba,Earth and Space Science,0.675230637,0.060484862,0.421788847,0.26657976
String theory and the hidden structures of the universe - Clifford Johnson,Earth and Space Science,0.716299482,0.059197805,0.408217024,0.197249884
The search for other Earth-like planets - Olivier Guyon,Earth and Space Science,0.691340031,0.10689855,0.450024613,0.288409644
How big is the ocean? - Scott Gass,Earth and Space Science,0.769168494,0.148721805,0.473824968,0.339299709
3 Planets That Shouldn't Exist,Earth and Space Science,0.687293233,0.092130963,0.440800184,0.325292352
How fast are you moving right now? - Tucker Hiatt,Earth and Space Science,0.676829337,0.082528166,0.40020937,0.217154254
